Dataset type:,Licence:,Dataset objective:
Dataset,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Regulation
Reference,https://www.gov.uk/government/publications/environment-agency-conditional-licence/environment-agency-conditional-licence,Reference
Spatial,https://support.environment.data.gov.uk/hc/en-gb/sections/360000151077-Data-Licensing-,FCRM (flood and coastal risk management)
Controlled list,,
Non-geographic dataset,,
Attribute,,
Attribute type,,
Collection hardware,,
Collection session,,
Dimension group,,
Feature,,
Feature type,,
Field session,,
Model,,
Property type,,
Series,,
Service,,
Software,,
Title,,
