EA_REGION,BW_ref,Name,de_des_yr,bb_xmax,bb_xmin,bb_ymax,bb_ymin,_zmax,_zmin
AN,09000,Cleethorpes,,532678.4821249964,529944.202979709,410296.5669847615,407865.23354021646,0,0
AN,09020,Humberston Fitties,,534589.3703508042,532585.2680233391,407430.2344329953,405682.4709270671,0,0
AN,09100,Mablethorpe Town,,551920.1260367027,550571.2885962855,385701.94142754376,384079.8101266306,0,0
AN,09200,Sutton-on-Sea,,552717.167464708,551940.6965423329,382623.2659412194,381579.024371054,0,0
AN,09300,Moggs Eye,,555263.4583915388,554286.3769189874,378129.3731727563,376988.95480506495,0,0
AN,09400,Anderby,,555824.5732564088,554887.8806365142,376763.96475667506,375625.2403383497,0,0
AN,09500,Chapel St Leonards,,556770.4491845118,555976.0971172452,372989.64444756694,371655.3541813921,0,0
AN,09600,Ingoldmells South,,557787.8112876862,557154.6990307122,369091.8353944458,368007.77761430293,0,0
AN,09700,Skegness,,557880.9873064756,556849.3609928628,364051.49732057005,362916.4437152557,0,0
AN,09800,Heacham,,566621.4969449341,564858.4181041494,337937.8424788285,337213.53153219447,0,0
AN,09850,Hunstanton Main Beach,,567202.3297824133,566500.0636937981,340838.75837918,340410.3759327978,0,0
AN,09900,Hunstanton (Old Hunstanton),,568189.7255778881,567392.6058042757,342975.21704693325,342125.7044243347,0,0
AN,10000,Wells,,591772.7588509964,590739.9951485787,346477.3990065567,345158.80665840954,0,0
AN,10100,Sheringham,,616646.0356448321,615359.964894888,343764.29758920893,343346.5981091969,0,0
AN,10150,East Runton,,620695.9930956531,619641.1181090372,343306.42201664485,342553.72261927463,0,0
AN,10200,Cromer,,622428.0134154037,621347.0584569089,342724.3706027847,342052.3321068045,0,0
AN,10300,Mundesley,,632195.1252481677,631186.3476049751,337081.794909779,336072.0317587741,0,0
AN,10310,Sea Palling,,643622.5872348743,642491.178822279,327937.076612927,326998.37238190137,0,0
AN,10325,Hemsby,,651136.0735058971,650336.2695090966,317924.60125149414,316811.011343807,0,0
AN,10350,Caister Point,,653197.5957771586,652537.0125776725,312525.48270330206,311454.4222672321,0,0
AN,10400,Great Yarmouth North,,653599.8448446533,652957.9935832908,311019.6143462863,309962.02698496915,0,0
AN,10500,Great Yarmouth Pier,,653586.7281713048,653056.4586903257,307964.47434158437,306890.872523142,0,0
AN,10600,Great Yarmouth South,,653671.1327949613,652956.7078583268,306913.4724754486,305858.4146800395,0,0
AN,10650,Gorleston Beach,,653481.6647272799,652855.4286981467,303525.2874556165,302549.8459691964,0,0
AN,10750,Lowestoft (North of Claremont Pier),,655166.0470358329,654382.1901651602,292587.08747661486,291815.364731038,0,0
AN,10800,Lowestoft (South of Claremont Pier),,654792.3196114367,654178.3388427701,291963.3996199798,291135.8603227809,0,0
AN,10830,Southwold The Pier,,651437.2805455728,650944.6705444651,277261.6842723917,276170.3156411182,0,0
AN,10850,Southwold The Denes,,651079.3081316091,650350.9329963289,275966.26903215237,274612.90322872624,0,0
AN,10900,Felixstowe North,,631165.5882850075,629946.2545119934,234707.45074180886,233923.73559692316,0,0
AN,11000,Felixstowe South,,630236.6668707989,629331.6149586607,234238.01738540642,233163.64908813313,0,0
AN,11100,Dovercourt,,625616.6932470668,624802.8688264703,231141.78680815548,230180.78745377064,0,0
AN,11250,Walton,,625932.1894488828,625280.9289060626,221962.5392388776,221341.4296470359,0,0
AN,11300,Frinton,,624547.454676222,623572.7414306737,220061.6892798096,218967.5447668843,0,0
AN,11350,Holland,,622920.0565823875,621992.1689822227,218127.6044777613,217221.44603190199,0,0
AN,11500,Clacton,,619348.1440836433,618350.9115243154,215618.71126541123,214800.95357797854,0,0
AN,11550,Clacton (Groyne 41),,617969.021383197,616936.7035105461,214509.4755903799,213740.2975675501,0,0
AN,11600,Jaywick,,615395.9518155791,614238.5941890748,213074.86977528222,212621.95235330984,0,0
AN,11650,Clacton Beach Martello Tower,,617182.2415733859,616282.227338572,213977.79815004207,213282.24679127522,0,0
AN,11700,Brightlingsea,,608450.6010523493,606943.7353934142,216709.07145759277,215545.54232757352,0,0
AN,11750,West Mersea,,603017.748785317,601667.8762062257,212747.17977673747,211747.56696414016,0,0
NE,03600,Spittal,,401233.730030369,400576.3631648505,652036.7643875927,651000.1234809496,0,0
NE,03700,Bamburgh Castle,,419083.7369654225,417914.3959367201,635723.6673778072,635047.0008185655,0,0
NE,03800,Seahouses North,,421495.51181977056,420811.30844940245,633362.0525424872,632536.3369343597,0,0
NE,03900,Beadnell,,423720.5511148786,423075.9654329084,628716.8215759732,627868.0541222952,0,0
NE,04000,Low Newton,,424529.2062783148,424188.79584212136,624655.9756445307,624230.5634245574,0,0
NE,04200,Warkworth,,426289.5473823566,425626.30078804865,606941.4441803042,605941.5113377403,0,0
NE,04250,Amble Links,,428652.6726660207,428028.6358512519,604061.0413495656,603439.8290977534,0,0
NE,04280,Druridge Bay North,,427873.9058232643,427330.69590922724,600244.6002813354,599240.1440793425,0,0
NE,04300,Druridge Bay South,,429401.3223369634,428696.2025384763,594593.0814109724,593833.6221050806,0,0
